Job_ID,Machine_ID,Operation_Type,Material_Used,Processing_Time,Energy_Consumption,Machine_Availability,Scheduled_Start,Scheduled_End,Actual_Start,Actual_End,Job_Status,Optimization_Category
J991,M02,Milling,3.05,36,6.33,99,2023-03-25 05:00:00,2023-03-25 05:36:00,2023-03-25 04:56:00,2023-03-25 05:32:00,Completed,Low Efficiency
J090,M02,Lathe,2.38,27,12.34,99,2023-03-18 22:50:00,2023-03-18 23:17:00,2023-03-18 23:05:00,2023-03-18 23:32:00,Delayed,Low Efficiency
J703,M01,Additive,1.08,41,7.52,99,2023-03-23 05:00:00,2023-03-23 05:41:00,2023-03-23 05:05:00,2023-03-23 05:46:00,Completed,Moderate Efficiency
J168,M03,Grinding,4.51,37,12.54,99,2023-03-19 11:50:00,2023-03-19 12:27:00,2023-03-19 12:14:00,2023-03-19 12:51:00,Delayed,Low Efficiency
J387,M01,Grinding,3.21,42,4.47,99,2023-03-21 00:20:00,2023-03-21 01:02:00,2023-03-21 00:16:00,2023-03-21 00:58:00,Completed,Low Efficiency
J938,M02,Drilling,1.97,47,9.72,99,2023-03-24 20:10:00,2023-03-24 20:57:00,2023-03-24 20:13:00,2023-03-24 21:00:00,Completed,Moderate Efficiency
J877,M05,Milling,2.41,23,6.93,99,2023-03-24 10:00:00,2023-03-24 10:23:00,2023-03-24 10:28:00,2023-03-24 10:51:00,Delayed,Low Efficiency
J686,M03,Milling,4.76,37,5.02,98,2023-03-23 02:10:00,2023-03-23 02:47:00,2023-03-23 02:15:00,2023-03-23 02:52:00,Completed,High Efficiency
J958,M05,Grinding,3.02,44,2.83,98,2023-03-24 23:30:00,2023-03-25 00:14:00,2023-03-24 23:25:00,2023-03-25 00:09:00,Completed,Low Efficiency
J374,M02,Milling,3.88,48,7.49,98,2023-03-20 22:10:00,2023-03-20 22:58:00,2023-03-20 22:09:00,2023-03-20 22:57:00,Completed,Low Efficiency
J790,M05,Milling,4.43,28,8.66,98,2023-03-23 19:30:00,2023-03-23 19:58:00,2023-03-23 19:25:00,2023-03-23 19:53:00,Completed,Low Efficiency
J082,M01,Drilling,1.73,24,13.39,98,2023-03-18 21:30:00,2023-03-18 21:54:00,2023-03-18 21:26:00,2023-03-18 21:50:00,Completed,Low Efficiency
J557,M04,Drilling,3.61,44,4.66,98,2023-03-22 04:40:00,2023-03-22 05:24:00,2023-03-22 04:40:00,2023-03-22 05:24:00,Completed,High Efficiency
J574,M02,Milling,2.31,23,5.63,98,2023-03-22 07:30:00,2023-03-22 07:53:00,2023-03-22 07:29:00,2023-03-22 07:52:00,Completed,Low Efficiency
J380,M02,Lathe,3.25,46,4.7,98,2023-03-20 23:10:00,2023-03-20 23:56:00,2023-03-20 23:12:00,2023-03-20 23:58:00,Completed,High Efficiency
J413,M04,Grinding,1.53,22,4.23,98,2023-03-21 04:40:00,2023-03-21 05:02:00,2023-03-21 04:39:00,2023-03-21 05:01:00,Completed,Low Efficiency
J556,M05,Additive,3.93,36,5.37,98,2023-03-22 04:30:00,2023-03-22 05:06:00,,,Failed,Low Efficiency
J916,M01,Drilling,4.75,31,8.94,98,2023-03-24 16:30:00,2023-03-24 17:01:00,2023-03-24 16:32:00,2023-03-24 17:03:00,Completed,Moderate Efficiency
J477,M01,Drilling,1.23,35,14.52,98,2023-03-21 15:20:00,2023-03-21 15:55:00,2023-03-21 15:15:00,2023-03-21 15:50:00,Completed,Low Efficiency
J010,M01,Drilling,2.1,27,3.66,97,2023-03-18 09:30:00,2023-03-18 09:57:00,2023-03-18 09:54:00,2023-03-18 10:21:00,Delayed,Low Efficiency
J965,M02,Drilling,2.38,43,12.77,97,2023-03-25 00:40:00,2023-03-25 01:23:00,2023-03-25 00:43:00,2023-03-25 01:26:00,Completed,Moderate Efficiency
J467,M01,Grinding,1.76,37,10.63,97,2023-03-21 13:40:00,2023-03-21 14:17:00,2023-03-21 13:38:00,2023-03-21 14:15:00,Completed,Low Efficiency
J040,M01,Lathe,2.29,50,9.94,97,2023-03-18 14:30:00,2023-03-18 15:20:00,2023-03-18 14:29:00,2023-03-18 15:19:00,Completed,Low Efficiency
J360,M05,Additive,1.81,29,8.0,97,2023-03-20 19:50:00,2023-03-20 20:19:00,2023-03-20 19:55:00,2023-03-20 20:24:00,Completed,Moderate Efficiency
J461,M02,Drilling,4.06,50,9.95,97,2023-03-21 12:40:00,2023-03-21 13:30:00,2023-03-21 12:41:00,2023-03-21 13:31:00,Completed,Moderate Efficiency
J145,M05,Lathe,4.02,22,7.26,97,2023-03-19 08:00:00,2023-03-19 08:22:00,2023-03-19 08:05:00,2023-03-19 08:27:00,Completed,Moderate Efficiency
J236,M02,Lathe,4.49,26,7.84,97,2023-03-19 23:10:00,2023-03-19 23:36:00,2023-03-19 23:10:00,2023-03-19 23:36:00,Completed,High Efficiency
J190,M04,Milling,1.94,50,10.25,97,2023-03-19 15:30:00,2023-03-19 16:20:00,2023-03-19 15:56:00,2023-03-19 16:46:00,Delayed,Low Efficiency
J724,M01,Additive,2.69,32,9.08,97,2023-03-23 08:30:00,2023-03-23 09:02:00,2023-03-23 08:32:00,2023-03-23 09:04:00,Completed,Moderate Efficiency
J665,M02,Lathe,1.12,45,7.92,97,2023-03-22 22:40:00,2023-03-22 23:25:00,2023-03-22 22:40:00,2023-03-22 23:25:00,Completed,High Efficiency
J331,M04,Additive,4.45,27,5.78,97,2023-03-20 15:00:00,2023-03-20 15:27:00,2023-03-20 14:55:00,2023-03-20 15:22:00,Completed,Low Efficiency
J274,M05,Lathe,2.17,20,4.29,97,2023-03-20 05:30:00,2023-03-20 05:50:00,2023-03-20 05:29:00,2023-03-20 05:49:00,Completed,Low Efficiency
J922,M02,Drilling,1.62,46,4.17,97,2023-03-24 17:30:00,2023-03-24 18:16:00,2023-03-24 17:30:00,2023-03-24 18:16:00,Completed,High Efficiency
J996,M02,Milling,4.86,50,3.71,97,2023-03-25 05:50:00,2023-03-25 06:40:00,,,Failed,Low Efficiency
J945,M04,Lathe,3.1,33,2.46,97,2023-03-24 21:20:00,2023-03-24 21:53:00,2023-03-24 21:45:00,2023-03-24 22:18:00,Delayed,Low Efficiency
J026,M01,Additive,1.14,21,3.89,97,2023-03-18 12:10:00,2023-03-18 12:31:00,2023-03-18 12:10:00,2023-03-18 12:31:00,Completed,High Efficiency
J388,M05,Milling,1.2,24,11.46,97,2023-03-21 00:30:00,2023-03-21 00:54:00,2023-03-21 00:28:00,2023-03-21 00:52:00,Completed,Low Efficiency
J845,M04,Lathe,2.1,40,14.19,97,2023-03-24 04:40:00,2023-03-24 05:20:00,2023-03-24 04:41:00,2023-03-24 05:21:00,Completed,Moderate Efficiency
J789,M02,Grinding,4.76,25,13.34,97,2023-03-23 19:20:00,2023-03-23 19:45:00,,,Failed,Low Efficiency
J684,M03,Grinding,1.46,28,13.43,96,2023-03-23 01:50:00,2023-03-23 02:18:00,2023-03-23 01:46:00,2023-03-23 02:14:00,Completed,Low Efficiency
J816,M05,Milling,3.58,34,14.45,96,2023-03-23 23:50:00,2023-03-24 00:24:00,2023-03-23 23:53:00,2023-03-24 00:27:00,Completed,Moderate Efficiency
J252,M05,Milling,4.59,38,13.14,96,2023-03-20 01:50:00,2023-03-20 02:28:00,2023-03-20 01:46:00,2023-03-20 02:24:00,Completed,Low Efficiency
J746,M03,Milling,1.14,30,7.66,96,2023-03-23 12:10:00,2023-03-23 12:40:00,2023-03-23 12:13:00,2023-03-23 12:43:00,Completed,High Efficiency
J982,M01,Additive,1.29,27,13.25,96,2023-03-25 03:30:00,2023-03-25 03:57:00,2023-03-25 03:29:00,2023-03-25 03:56:00,Completed,Low Efficiency
J031,M03,Grinding,1.7,37,3.21,96,2023-03-18 13:00:00,2023-03-18 13:37:00,2023-03-18 13:02:00,2023-03-18 13:39:00,Completed,High Efficiency
J939,M02,Drilling,3.28,50,7.97,96,2023-03-24 20:20:00,2023-03-24 21:10:00,2023-03-24 20:45:00,2023-03-24 21:35:00,Delayed,Low Efficiency
J100,M02,Grinding,2.71,27,12.24,96,2023-03-19 00:30:00,2023-03-19 00:57:00,2023-03-19 00:35:00,2023-03-19 01:02:00,Completed,Moderate Efficiency
J933,M02,Lathe,4.01,49,4.23,96,2023-03-24 19:20:00,2023-03-24 20:09:00,2023-03-24 19:19:00,2023-03-24 20:08:00,Completed,Low Efficiency
J675,M03,Grinding,3.67,25,4.14,96,2023-03-23 00:20:00,2023-03-23 00:45:00,,,Failed,Low Efficiency
J729,M04,Lathe,4.22,49,4.45,96,2023-03-23 09:20:00,2023-03-23 10:09:00,2023-03-23 09:47:00,2023-03-23 10:36:00,Delayed,Low Efficiency
J401,M04,Grinding,4.27,49,8.1,96,2023-03-21 02:40:00,2023-03-21 03:29:00,,,Failed,Low Efficiency
J283,M01,Additive,1.52,37,9.47,96,2023-03-20 07:00:00,2023-03-20 07:37:00,2023-03-20 06:57:00,2023-03-20 07:34:00,Completed,Low Efficiency
J295,M02,Additive,2.46,39,10.97,96,2023-03-20 09:00:00,2023-03-20 09:39:00,2023-03-20 09:04:00,2023-03-20 09:43:00,Completed,Moderate Efficiency
J303,M05,Additive,1.5,38,6.46,96,2023-03-20 10:20:00,2023-03-20 10:58:00,2023-03-20 10:18:00,2023-03-20 10:56:00,Completed,Low Efficiency
J013,M03,Lathe,3.1,43,5.55,95,2023-03-18 10:00:00,2023-03-18 10:43:00,2023-03-18 10:05:00,2023-03-18 10:48:00,Completed,High Efficiency
J291,M03,Milling,5.0,26,12.76,95,2023-03-20 08:20:00,2023-03-20 08:46:00,2023-03-20 08:20:00,2023-03-20 08:46:00,Completed,Moderate Efficiency
J259,M03,Lathe,2.91,24,7.41,95,2023-03-20 03:00:00,2023-03-20 03:24:00,2023-03-20 02:58:00,2023-03-20 03:22:00,Completed,Low Efficiency
J260,M04,Milling,4.35,47,4.55,95,2023-03-20 03:10:00,2023-03-20 03:57:00,,,Failed,Low Efficiency
J216,M01,Lathe,3.51,42,10.46,95,2023-03-19 19:50:00,2023-03-19 20:32:00,2023-03-19 19:50:00,2023-03-19 20:32:00,Completed,Moderate Efficiency
J707,M04,Milling,4.77,41,6.24,95,2023-03-23 05:40:00,2023-03-23 06:21:00,2023-03-23 05:52:00,2023-03-23 06:33:00,Delayed,Low Efficiency
J071,M04,Milling,2.62,25,7.29,95,2023-03-18 19:40:00,2023-03-18 20:05:00,2023-03-18 19:38:00,2023-03-18 20:03:00,Completed,Low Efficiency
J885,M05,Drilling,4.98,45,8.68,95,2023-03-24 11:20:00,2023-03-24 12:05:00,2023-03-24 11:25:00,2023-03-24 12:10:00,Completed,Moderate Efficiency
J400,M02,Grinding,4.34,24,2.23,95,2023-03-21 02:30:00,2023-03-21 02:54:00,2023-03-21 03:00:00,2023-03-21 03:24:00,Delayed,Low Efficiency
J485,M03,Lathe,3.38,34,9.0,95,2023-03-21 16:40:00,2023-03-21 17:14:00,2023-03-21 16:36:00,2023-03-21 17:10:00,Completed,Low Efficiency
J042,M04,Additive,1.55,48,13.57,95,2023-03-18 14:50:00,2023-03-18 15:38:00,2023-03-18 14:47:00,2023-03-18 15:35:00,Completed,Low Efficiency
J555,M02,Additive,1.61,37,12.3,95,2023-03-22 04:20:00,2023-03-22 04:57:00,2023-03-22 04:30:00,2023-03-22 05:07:00,Delayed,Low Efficiency
J038,M01,Grinding,4.77,43,4.98,94,2023-03-18 14:10:00,2023-03-18 14:53:00,2023-03-18 14:10:00,2023-03-18 14:53:00,Completed,High Efficiency
J167,M01,Grinding,1.29,35,7.2,94,2023-03-19 11:40:00,2023-03-19 12:15:00,2023-03-19 11:45:00,2023-03-19 12:20:00,Completed,Moderate Efficiency
J702,M05,Lathe,3.85,45,14.9,94,2023-03-23 04:50:00,2023-03-23 05:35:00,2023-03-23 05:02:00,2023-03-23 05:47:00,Delayed,Low Efficiency
J690,M05,Lathe,3.73,40,10.82,94,2023-03-23 02:50:00,2023-03-23 03:30:00,2023-03-23 03:03:00,2023-03-23 03:43:00,Delayed,Low Efficiency
J520,M04,Additive,3.26,34,6.56,94,2023-03-21 22:30:00,2023-03-21 23:04:00,,,Failed,Low Efficiency
J668,M01,Additive,3.36,29,11.77,94,2023-03-22 23:10:00,2023-03-22 23:39:00,2023-03-22 23:06:00,2023-03-22 23:35:00,Completed,Low Efficiency
J694,M01,Drilling,2.77,23,9.15,94,2023-03-23 03:30:00,2023-03-23 03:53:00,2023-03-23 03:34:00,2023-03-23 03:57:00,Completed,Moderate Efficiency
