Job_ID,Machine_ID,Operation_Type,Material_Used,Processing_Time,Energy_Consumption,Machine_Availability,Scheduled_Start,Scheduled_End,Actual_Start,Actual_End,Job_Status,Optimization_Category,efficiency
J291,M03,Milling,5.0,26,12.76,95,2023-03-20 08:20:00,2023-03-20 08:46:00,2023-03-20 08:20:00,2023-03-20 08:46:00,Completed,Moderate Efficiency,0.19230769230769232
J789,M02,Grinding,4.76,25,13.34,97,2023-03-23 19:20:00,2023-03-23 19:45:00,,,Failed,Low Efficiency,0.19039999999999999
J145,M05,Lathe,4.02,22,7.26,97,2023-03-19 08:00:00,2023-03-19 08:22:00,2023-03-19 08:05:00,2023-03-19 08:27:00,Completed,Moderate Efficiency,0.1827272727272727
J400,M02,Grinding,4.34,24,2.23,95,2023-03-21 02:30:00,2023-03-21 02:54:00,2023-03-21 03:00:00,2023-03-21 03:24:00,Delayed,Low Efficiency,0.18083333333333332
J236,M02,Lathe,4.49,26,7.84,97,2023-03-19 23:10:00,2023-03-19 23:36:00,2023-03-19 23:10:00,2023-03-19 23:36:00,Completed,High Efficiency,0.1726923076923077
J331,M04,Additive,4.45,27,5.78,97,2023-03-20 15:00:00,2023-03-20 15:27:00,2023-03-20 14:55:00,2023-03-20 15:22:00,Completed,Low Efficiency,0.16481481481481483
J790,M05,Milling,4.43,28,8.66,98,2023-03-23 19:30:00,2023-03-23 19:58:00,2023-03-23 19:25:00,2023-03-23 19:53:00,Completed,Low Efficiency,0.1582142857142857
J916,M01,Drilling,4.75,31,8.94,98,2023-03-24 16:30:00,2023-03-24 17:01:00,2023-03-24 16:32:00,2023-03-24 17:03:00,Completed,Moderate Efficiency,0.1532258064516129
J675,M03,Grinding,3.67,25,4.14,96,2023-03-23 00:20:00,2023-03-23 00:45:00,,,Failed,Low Efficiency,0.14679999999999999
J686,M03,Milling,4.76,37,5.02,98,2023-03-23 02:10:00,2023-03-23 02:47:00,2023-03-23 02:15:00,2023-03-23 02:52:00,Completed,High Efficiency,0.12864864864864864
J168,M03,Grinding,4.51,37,12.54,99,2023-03-19 11:50:00,2023-03-19 12:27:00,2023-03-19 12:14:00,2023-03-19 12:51:00,Delayed,Low Efficiency,0.12189189189189188
J259,M03,Lathe,2.91,24,7.41,95,2023-03-20 03:00:00,2023-03-20 03:24:00,2023-03-20 02:58:00,2023-03-20 03:22:00,Completed,Low Efficiency,0.12125000000000001
J252,M05,Milling,4.59,38,13.14,96,2023-03-20 01:50:00,2023-03-20 02:28:00,2023-03-20 01:46:00,2023-03-20 02:24:00,Completed,Low Efficiency,0.12078947368421052
J556,M05,Additive,3.93,36,5.37,98,2023-03-22 04:30:00,2023-03-22 05:06:00,,,Failed,Low Efficiency,0.10916666666666668
J274,M05,Lathe,2.17,20,4.29,97,2023-03-20 05:30:00,2023-03-20 05:50:00,2023-03-20 05:29:00,2023-03-20 05:49:00,Completed,Low Efficiency,0.1085
J816,M05,Milling,3.58,34,14.45,96,2023-03-23 23:50:00,2023-03-24 00:24:00,2023-03-23 23:53:00,2023-03-24 00:27:00,Completed,Moderate Efficiency,0.10529411764705883
J071,M04,Milling,2.62,25,7.29,95,2023-03-18 19:40:00,2023-03-18 20:05:00,2023-03-18 19:38:00,2023-03-18 20:03:00,Completed,Low Efficiency,0.1048
J877,M05,Milling,2.41,23,6.93,99,2023-03-24 10:00:00,2023-03-24 10:23:00,2023-03-24 10:28:00,2023-03-24 10:51:00,Delayed,Low Efficiency,0.10478260869565217
J574,M02,Milling,2.31,23,5.63,98,2023-03-22 07:30:00,2023-03-22 07:53:00,2023-03-22 07:29:00,2023-03-22 07:52:00,Completed,Low Efficiency,0.10043478260869565
J100,M02,Grinding,2.71,27,12.24,96,2023-03-19 00:30:00,2023-03-19 00:57:00,2023-03-19 00:35:00,2023-03-19 01:02:00,Completed,Moderate Efficiency,0.10037037037037037
J485,M03,Lathe,3.38,34,9.0,95,2023-03-21 16:40:00,2023-03-21 17:14:00,2023-03-21 16:36:00,2023-03-21 17:10:00,Completed,Low Efficiency,0.09941176470588235
